"","file","rate","title"
"1","103.txt","SUCCESS"," around the world in 80 days "
"2","1145.txt","SUCCESS"," rupert of hentzau "
"3","1947.txt","SUCCESS"," scaramouche "
"4","19513.txt","SUCCESS"," a journey to the center of the earth "
"5","1965.txt","SUCCESS"," captain blood "
"6","2166.txt","SUCCESS"," king solomon's mines "
"7","24091.txt","SUCCESS"," despoilers of the golden empire "
"8","2727.txt","SUCCESS"," allan's wife "
"9","393.txt","SUCCESS"," the blue lagoon: a romance "
"10","95.txt","SUCCESS"," the prisoner of zenda "
"11","10368.txt","FAILURE"," the vizier of the two-horned alexander "
"12","12190.txt","FAILURE"," the adventures of captain horn "
"13","13290.txt","FAILURE"," martin rattler "
"14","15072.txt","FAILURE"," marjorie's maytime "
"15","18399.txt","FAILURE"," the shipwreck a story for the young "
"16","21393.txt","FAILURE"," ""hendricks the hunter the border farm"
"17","21459.txt","FAILURE"," dick onslow among the redskins "
"18","23662.txt","FAILURE"," the heart of unaga "
"19","24695.txt","FAILURE"," the snowshoe trail "
"20","8493.txt","FAILURE"," the last hope "
"21","106.txt","SUCCESS"," jungle tales of tarzan "
"22","123.txt","SUCCESS"," at the earth's core "
"23","126.txt","SUCCESS"," the poison belt "
"24","17047.txt","SUCCESS"," the half-hearted "
"25","20898.txt","SUCCESS"," the galaxy primes "
"26","25577.txt","SUCCESS"," all adrift or the goldwing club "
"27","3782.txt","SUCCESS"," huntingtower "
"28","468.txt","SUCCESS"," manon lescaut "
"29","9609.txt","SUCCESS"," ""joseph andrews"
"30","9611.txt","SUCCESS"," ""joseph andrews"
"31","10690.txt","FAILURE"," ""a desperate chance or"
"32","12191.txt","FAILURE"," the red axe "
"33","13276.txt","FAILURE"," the mission "
"34","13405.txt","FAILURE"," ""the travels and adventures of monsieur violet in california"
"35","19235.txt","FAILURE"," under the great bear "
"36","21268.txt","FAILURE"," the search for the silver city a tale of adventure in yucatan "
"37","21539.txt","FAILURE"," the blue envelope "
"38","23725.txt","FAILURE"," viking boys "
"39","24996.txt","FAILURE"," the tapu of banderah 1901 "
"40","9649.txt","FAILURE"," with trapper jim in the north woods "
"41","10743.txt","SUCCESS"," moonfleet "
"42","11866.txt","SUCCESS"," ""the life and most surprising adventures of robinson crusoe"
"43","12623.txt","SUCCESS"," the life and adventures of robinson crusoe (1808) "
"44","12986.txt","SUCCESS"," ""the card"
"45","1752.txt","SUCCESS"," ""el dorado"
"46","19640.txt","SUCCESS"," adventures of huckleberry finn "
"47","19714.txt","SUCCESS"," with frederick the great a story of the seven years' war "
"48","2785.txt","SUCCESS"," the elusive pimpernel "
"49","546.txt","SUCCESS"," under the andes "
"50","7100.txt","SUCCESS"," ""adventures of huckleberry finn"
"51","12611.txt","FAILURE"," the regent "
"52","15773.txt","FAILURE"," round the world in seven days "
"53","20131.txt","FAILURE"," the mask a story of love and adventure "
"54","21313.txt","FAILURE"," in honour's cause a tale of the days of george the first "
"55","21314.txt","FAILURE"," king o' the beach a tropic tale "
"56","21795.txt","FAILURE"," fred fearnot's new ranch and how he and terry managed it "
"57","24297.txt","FAILURE"," ""the river of darkness"
"58","24299.txt","FAILURE"," the cryptogram a story of northwest canada "
"59","25079.txt","FAILURE"," queensland cousins "
"60","9873.txt","FAILURE"," till the clock stops "
"61","1083.txt","SUCCESS"," the arrow of gold a story between two notes "
"62","1142.txt","SUCCESS"," typhoon "
"63","13720.txt","SUCCESS"," ""mardi: and a voyage thither"
"64","13721.txt","SUCCESS"," ""mardi: and a voyage thither"
"65","1376.txt","SUCCESS"," ""the little white bird; or"
"66","19678.txt","SUCCESS"," call of the wild "
"67","21338.txt","SUCCESS"," ""the vnfortunate traveller"
"68","215.txt","SUCCESS"," the call of the wild "
"69","2226.txt","SUCCESS"," kim "
"70","2275.txt","SUCCESS"," the pioneers "
"71","10988.txt","FAILURE"," the devil's admiral "
"72","11909.txt","FAILURE"," ""bob the castaway or"
"73","12405.txt","FAILURE"," ""frank"
"74","13946.txt","FAILURE"," camp and trail a story of the maine woods "
"75","14361.txt","FAILURE"," carmen's messenger "
"76","16604.txt","FAILURE"," poison island "
"77","20261.txt","FAILURE"," the adventures of harry revel "
"78","22086.txt","FAILURE"," ""the son of monte-cristo"
"79","25144.txt","FAILURE"," a voyage with captain dynamite "
"80","9927.txt","FAILURE"," the bronze bell "
"81","1184.txt","SUCCESS"," the count of monte cristo "
"82","12556.txt","SUCCESS"," a master of fortune being further adventures of captain kettle "
"83","18883.txt","SUCCESS"," the four feathers "
"84","18997.txt","SUCCESS"," ""the vicomte de bragelonne or ten years later being the completion of """"the three musketeers"""" and """"twenty years after"""""" "
"85","21513.txt","SUCCESS"," ""life and adventures of peter wilkins"
"86","2360.txt","SUCCESS"," the riddle of the sands "
"87","23765.txt","SUCCESS"," ""captain boldheart & the latin-grammar master a holiday romance from the pen of lieut-col. robin redforth"
"88","794.txt","SUCCESS"," the wouldbegoods "
"89","966.txt","SUCCESS"," maid marian "
"90","968.txt","SUCCESS"," martin chuzzlewit "
"91","11997.txt","FAILURE"," crusoes of the frozen north "
"92","14882.txt","FAILURE"," bobby of the labrador "
"93","15546.txt","FAILURE"," the last of the peterkins with others of their kin "
"94","17131.txt","FAILURE"," the colonel of the red huzzars "
"95","20618.txt","FAILURE"," ""the boy land boomer or"
"96","20870.txt","FAILURE"," ""the motor girls through new england or"
"97","22424.txt","FAILURE"," frank merriwell down south "
"98","24306.txt","FAILURE"," the flaming jewel "
"99","25316.txt","FAILURE"," frank merriwell's son a chip off the old block "
"100","9968.txt","FAILURE"," ""the young woodsman or"
"101","10067.txt","SUCCESS"," the mystery of the boule cabinet a detective story "
"102","11128.txt","SUCCESS"," the red thumb mark "
"103","12187.txt","SUCCESS"," the mystery of 31 new inn "
"104","13372.txt","SUCCESS"," the gloved hand "
"105","1695.txt","SUCCESS"," ""the man who was thursday"
"106","1718.txt","SUCCESS"," manalive "
"107","20912.txt","SUCCESS"," the daffodil mystery "
"108","21530.txt","SUCCESS"," the angel of terror "
"109","3180.txt","SUCCESS"," a double barrelled detective story "
"110","3181.txt","SUCCESS"," the stolen white elephant "
"111","10029.txt","FAILURE"," the hunt ball mystery "
"112","12195.txt","FAILURE"," the mystery of metropolisville "
"113","14369.txt","FAILURE"," ""the young engineers on the gulf or"
"114","18671.txt","FAILURE"," never-fail blake "
"115","20152.txt","FAILURE"," the winning clue "
"116","24945.txt","FAILURE"," mufti "
"117","25873.txt","FAILURE"," ""the motor girls on crystal bay or"
"118","2789.txt","FAILURE"," the motor girls on a tour "
"119","28504.txt","FAILURE"," the rival campers ashore the mystery of the mill "
"120","9300.txt","FAILURE"," ""jennie baxter"
"121","108.txt","SUCCESS"," the return of sherlock holmes "
"122","11451.txt","SUCCESS"," the rome express "
"123","16339.txt","SUCCESS"," the passenger from calais "
"124","19069.txt","SUCCESS"," the silent house "
"125","2014.txt","SUCCESS"," the lodger "
"126","2097.txt","SUCCESS"," the sign of the four "
"127","3802.txt","SUCCESS"," the widow lerouge "
"128","4071.txt","SUCCESS"," monsieur lecoq "
"129","564.txt","SUCCESS"," the mystery of edwin drood "
"130","5660.txt","SUCCESS"," mary louise "
"131","10537.txt","FAILURE"," the governors "
"132","10575.txt","FAILURE"," the profiteers "
"133","14623.txt","FAILURE"," six little bunkers at grandma bell's "
"134","18965.txt","FAILURE"," the substitute prisoner "
"135","22212.txt","FAILURE"," the paternoster ruby "
"136","25695.txt","FAILURE"," the diamond coterie "
"137","25847.txt","FAILURE"," patty's friends "
"138","25875.txt","FAILURE"," the woman from outside [on swan river] "
"139","2883.txt","FAILURE"," the gold bag "
"140","9635.txt","FAILURE"," the end of her honeymoon "
"141","10373.txt","SUCCESS"," the middle temple murder "
"142","1155.txt","SUCCESS"," secret adversary "
"143","1167.txt","SUCCESS"," a strange disappearance "
"144","12239.txt","SUCCESS"," dead men's money "
"145","155.txt","SUCCESS"," the moonstone "
"146","1622.txt","SUCCESS"," the law and the lady "
"147","172.txt","SUCCESS"," the haunted bookshop "
"148","17763.txt","SUCCESS"," the mystery of the hasty arrow "
"149","6864.txt","SUCCESS"," average jones "
"150","863.txt","SUCCESS"," the mysterious affair at styles "
"151","12678.txt","FAILURE"," ""the house of mystery an episode in the career of rosalie le grange"
"152","13880.txt","FAILURE"," triple spies "
"153","19335.txt","FAILURE"," ""oscar the detective or"
"154","22820.txt","FAILURE"," the crooked house "
"155","25787.txt","FAILURE"," ""on the edge of the arctic or"
"156","26155.txt","FAILURE"," two wonderful detectives jack and gil's marvelous skill "
"157","26372.txt","FAILURE"," panther eye "
"158","27097.txt","FAILURE"," the boy ranchers in death valley or diamond x and the poison mystery "
"159","431.txt","FAILURE"," the fortune hunter "
"160","9808.txt","FAILURE"," the loudwater mystery "
"161","1076.txt","SUCCESS"," the wallet of kai lung "
"162","1159.txt","SUCCESS"," fire-tongue "
"163","1182.txt","SUCCESS"," dope "
"164","12509.txt","SUCCESS"," the moon rock "
"165","13058.txt","SUCCESS"," the teeth of the tiger "
"166","14332.txt","SUCCESS"," cleek: the man of the forty faces "
"167","1563.txt","SUCCESS"," the crystal stopper "
"168","20494.txt","SUCCESS"," the shrieking pit "
"169","2568.txt","SUCCESS"," trent's last case "
"170","4715.txt","SUCCESS"," an african millionaire episodes in the life of the illustrious colonel clay "
"171","10584.txt","FAILURE"," ""air service boys over the atlantic or"
"172","14096.txt","FAILURE"," ""with links of steel or"
"173","15695.txt","FAILURE"," 'doc.' gordon "
"174","15965.txt","FAILURE"," in friendship's guise "
"175","24033.txt","FAILURE"," ""dave porter in the gold fields or"
"176","2691.txt","FAILURE"," ""nan sherwood at pine camp or"
"177","26925.txt","FAILURE"," the bradys beyond their depth the great swamp mystery "
"178","4660.txt","FAILURE"," timothy crump's ward a story of american life "
"179","5002.txt","FAILURE"," ""the rover boys in business or"
"180","9853.txt","FAILURE"," the mystery of the four fingers "
"181","11127.txt","SUCCESS"," the case of jennie brice "
"182","1601.txt","SUCCESS"," the breaking point "
"183","1686.txt","SUCCESS"," the secret of the night "
"184","1703.txt","SUCCESS"," dead men tell no tales "
"185","17866.txt","SUCCESS"," murder in the gunroom "
"186","1814.txt","SUCCESS"," the agony column "
"187","1872.txt","SUCCESS"," the red house mystery "
"188","20559.txt","SUCCESS"," ""r. holmes & co. being the remarkable adventures of raffles holmes"
"189","546.txt","SUCCESS"," under the andes "
"190","9746.txt","SUCCESS"," the ashiel mystery: a detective story "
"191","11085.txt","FAILURE"," ""m. or n. """"similia similibus curantur."""""" "
"192","14167.txt","FAILURE"," the red redmaynes "
"193","17762.txt","FAILURE"," the burglar's fate and the detectives "
"194","19523.txt","FAILURE"," a husband by proxy "
"195","19901.txt","FAILURE"," the castle of the shadows "
"196","24102.txt","FAILURE"," ""owen clancy's happy trail or"
"197","25849.txt","FAILURE"," the launch boys' adventures in northern waters "
"198","26657.txt","FAILURE"," the motor pirate "
"199","27890.txt","FAILURE"," the merriweather girls in quest of treasure "
"200","9974.txt","FAILURE"," the yellow streak "
"201","1027.txt","SUCCESS"," ""the lone star ranger"
"202","1095.txt","SUCCESS"," light of the western stars "
"203","165.txt","SUCCESS"," mcteague "
"204","1897.txt","SUCCESS"," the seventh man "
"205","243.txt","SUCCESS"," the forged coupon "
"206","331.txt","SUCCESS"," the mucker "
"207","363.txt","SUCCESS"," the oakdale affair "
"208","5240.txt","SUCCESS"," the confessions of harry lorrequer � complete "
"209","525.txt","SUCCESS"," ""youth"
"210","689.txt","SUCCESS"," the kreutzer sonata and other stories "
"211","11005.txt","FAILURE"," o+f "
"212","13238.txt","FAILURE"," six women "
"213","15181.txt","FAILURE"," my mother's rival everyday life library no. 4 "
"214","15182.txt","FAILURE"," marion arleigh's penance everyday life library no. 5 "
"215","15793.txt","FAILURE"," an unpardonable liar "
"216","1762.txt","FAILURE"," the consul "
"217","1819.txt","FAILURE"," the messengers "
"218","20615.txt","FAILURE"," the master-knot of human fate "
"219","22961.txt","FAILURE"," ""nell"
"220","5236.txt","FAILURE"," the confessions of harry lorrequer � volume 3 "
"221","1032.txt","SUCCESS"," the pupil "
"222","1093.txt","SUCCESS"," the beast in the jungle "
"223","1156.txt","SUCCESS"," babbitt "
"224","1253.txt","SUCCESS"," a simple soul "
"225","1290.txt","SUCCESS"," salammbo "
"226","17047.txt","SUCCESS"," the half-hearted "
"227","2028.txt","SUCCESS"," the yellow claw "
"228","24920.txt","SUCCESS"," the book of all-power "
"229","39293.txt","SUCCESS"," the gentlemen's book of etiquette and manual of politeness being a complete guide for a gentleman's conduct in all his relations towards society "
"230","543.txt","SUCCESS"," main street "
"231","13261.txt","FAILURE"," jason a romance "
"232","15103.txt","FAILURE"," the imaginary marriage "
"233","15244.txt","FAILURE"," ""lewie or"
